Imię,Nazwisko,PESEL,Email,Telefon,Adres,DataUrodzenia
Agnieszka,Glonek,08210131932,mikolajfogt@stowarzyszenie.org,510 787 695,"ulica Wybickiego 83/47
90-664 Tarnów",1989-03-20
Karol,Rejniak,89090220608,maciej07@ppuh.com,+48 733 085 511,"aleja Rycerska 01
92-116 Środa Wielkopolska",1999-06-23
Malwina,Pacewicz,71092614396,hubert49@fundacja.net,508 309 803,"plac Skrajna 823
02-735 Rybnik",1968-08-20
Witold,Ciuła,10282053085,rmordal@interia.pl,+48 726 026 456,"plac Glówna 55/55
54-674 Świętochłowice",1957-12-06
Melania,Gotfryd,88020808936,tpodeszwa@mucka.net,+48 507 939 528,"al. Warszawska 793
79-114 Brodnica",1944-03-01
Emil,Cop,85040813584,wojslawewelina@onet.pl,881 085 991,"pl. Azaliowa 17/69
27-564 Mysłowice",1992-05-26
Tadeusz,Halik,98092374116,ernest38@siatka-maslon.com,734 132 660,"al. Orzeszkowej 93
91-881 Żory",1945-03-04
Krystyna,Bukowiec,71013156723,igorfiedorczuk@raszkiewicz-maras.com,+48 883 076 966,"pl. Spółdzielcza 80/89
31-997 Bielawa",1975-08-29
Adam,Machniak,14250477189,kopaarkadiusz@grupa.org,662 864 824,"ul. Zakątek 09
87-328 Jawor",1992-04-24
Damian,Kulis,22212672408,kolarzdagmara@onet.pl,+48 665 475 443,"ul. Modrzewiowa 16
70-556 Goleniów",1982-12-18
Tomasz,Jakubaszek,10271619081,tobiasz89@yahoo.com,606 665 673,"al. Kreta 41
13-766 Gorzów Wielkopolski",1945-06-28
Nela,Rybus,98111132879,lszoka@yahoo.com,+48 518 530 436,"al. Słowianska 876
11-273 Będzin",1946-05-17
Tadeusz,Stefanik,13252529306,gabrielszczepan@hotmail.com,889 085 811,"plac Kazimierza Wielkiego 36
40-373 Sandomierz",1949-02-13
Monika,Pal,95120447862,dominik65@ppuh.com,+48 22 641 18 59,"ulica Rejtana 49/31
25-838 Rybnik",1946-11-05
Agnieszka,Szmuc,24272934317,oskar53@gabinety.com,+48 575 963 724,"pl. Ceglana 94
26-522 Czerwionka-Leszczyny",1989-04-15
Paweł,Grygorowicz,71090587289,dominik52@hotmail.com,882 148 637,"plac Rzemieślnicza 74/56
73-303 Świętochłowice",1958-08-15
Bruno,Andrejczuk,07252587875,mbacia@gmail.com,+48 667 262 645,"plac Bolesława Chrobrego 52
02-047 Polkowice",1995-05-11
Tymoteusz,Myszak,08260151056,kornel06@lasak.pl,692 093 153,"al. Majowa 49/31
18-402 Konin",1958-02-23
Olga,Huber,74061686121,apoloniahelman@fpuh.org,+48 783 140 258,"ul. Rynek 94
73-067 Kołobrzeg",2002-01-02
Piotr,Celuch,05252800253,bielensonia@gmail.com,537 575 404,"al. Stroma 74
40-035 Lębork",1973-01-06
Kornelia,Kuliberda,74012319874,kornelburczak@o2.pl,515 509 353,"ul. Strażacka 60/91
81-124 Tychy",1947-10-12
Witold,Durlik,14242353837,siciarzsylwia@interia.pl,886 140 046,"pl. Krzywa 519
59-942 Luboń",1985-06-30
Maurycy,Piątkiewicz,17262816027,leonard15@o2.pl,+48 570 736 130,"al. Borowa 081
58-498 Starogard Gdański",2003-09-21
Aniela,Franiak,72102865748,franciszeklapaj@grupa.pl,+48 691 043 773,"ulica Kazimierza Wielkiego 134
42-905 Świecie",1947-06-24
Norbert,Klemens,77121476247,marek83@hotmail.com,32 770 94 94,"plac Strumykowa 24
18-279 Gdańsk",1975-07-28
Olaf,Bacik,99081328648,ida21@o2.pl,22 060 77 01,"ul. Makowa 03
30-512 Nowy Dwór Mazowiecki",1999-04-27
Eryk,Czerepak,76030506429,alexbortkiewicz@ppuh.com,+48 22 620 92 00,"pl. Czarnieckiego 175
00-870 Ząbki",1980-02-05
Cezary,Kaszkowiak,82101127527,azastawny@hotmail.com,609 973 467,"aleja Szkolna 95
30-245 Biała Podlaska",1955-10-01
Tola,Dorociak,94071615371,matejczyklukasz@fpuh.pl,32 667 90 47,"aleja Fiołkowa 58/29
69-084 Czerwionka-Leszczyny",1986-09-11
Kaja,Koziatek,90102072838,kblasik@stowarzyszenie.com,+48 721 671 064,"aleja Łączna 91
14-513 Świnoujście",1946-04-26
Mateusz,Rurarz,97080312592,kraszkiewicztobiasz@yahoo.com,22 599 78 85,"pl. Hutnicza 17/28
72-076 Bielsko-Biała",1997-01-20
Józef,Buk,89090920256,vgraban@hotmail.com,+48 32 107 38 88,"pl. Plater 547
24-077 Zielona Góra",2002-07-05
Eryk,Berek,16250653682,noglaza@interia.pl,880 756 188,"al. Kasprowicza 78/87
63-472 Siedlce",1960-01-02
Krzysztof,Ciesielka,78031282025,rejmerpatryk@ppuh.pl,+48 783 572 851,"ulica Jasna 560
45-578 Krotoszyn",1977-03-09
Piotr,Maćków,72111926692,aleksburzec@yahoo.com,+48 32 878 61 63,"pl. Makuszyńskiego 15/30
04-514 Nowa Ruda",1995-09-04
Anna Maria,Krüger,15240845939,ewa06@yahoo.com,+48 787 149 042,"pl. Wschodnia 31/19
51-034 Czeladź",1952-09-21
Anita,Rymarz,71120941681,dorota26@stowarzyszenie.com,+48 739 827 935,"ulica Górnicza 65
85-917 Kołobrzeg",1951-04-04
Hubert,Sładek,70090357678,natannowrot@grupa.com,+48 579 497 854,"ul. Reymonta 60/43
01-262 Sopot",1977-08-29
Kaja,Freitag,78041418360,konstanty29@hotmail.com,787 885 794,"pl. Powstańców 591
28-074 Wołomin",1961-05-15
Leonard,Wittbrodt,11312779782,kielochsandra@hamera.com,+48 507 111 431,"pl. Jeziorna 457
09-198 Suwałki",1993-06-13
Aleks,Trznadel,19321555953,kajabok@stowarzyszenie.org,+48 789 567 030,"ulica Rybacka 00
52-969 Mińsk Mazowiecki",1986-04-16
Ada,Kustosz,18232084116,julianna54@hotmail.com,+48 695 238 749,"pl. Bolesława Chrobrego 113
89-906 Grodzisk Mazowiecki",1984-01-14
Eryk,Pilich,98012074261,patryk15@gmail.com,+48 731 316 499,"aleja Miła 67/39
05-157 Bochnia",1994-10-21
Marcel,Liedtke,81070248383,sonia65@onet.pl,720 478 179,"al. Kościuszki 81/77
11-021 Brodnica",1952-04-26
Krystian,Pryszcz,92060419803,janborczyk@stowarzyszenie.pl,+48 796 112 837,"ul. Jeziorna 318
53-489 Bielawa",1958-09-19
Mateusz,Gapys,94092727978,marcel79@grupa.pl,739 737 845,"al. Tuwima 48
48-523 Rybnik",1978-08-08
Aleks,Wdowczyk,78122173270,nelawziatek@o2.pl,+48 22 839 17 65,"aleja Bałtycka 56/07
84-474 Biłgoraj",1967-05-23
Mieszko,Liśkiewicz,14280185939,sznurawiktor@spoldzielnia.com,531 473 896,"pl. Szewska 67/74
90-498 Żagań",1988-09-30
Julianna,Nurek,99053086068,wiktorkamyk@jarosiewicz-rzeszutko.net,+48 661 054 103,"ul. Pomorska 408
87-540 Polkowice",1964-11-07
Patryk,Piestrzeniewicz,20310588753,jswiech@spoldzielnia.net,511 359 079,"pl. Brzechwy 205
84-345 Wejherowo",1999-07-19
Cezary,Czerner,11272690501,lidiagryka@interia.pl,+48 539 473 426,"al. Północna 296
34-055 Tczew",1946-07-21
Jakub,Walus,10302806114,guscioraaleks@o2.pl,696 274 385,"plac Częstochowska 97/40
72-535 Kielce",1971-03-23
Mateusz,Hewelt,10251008489,budrewiczcyprian@gierek-kornet.pl,887 597 034,"ulica Klasztorna 271
38-369 Skierniewice",1950-03-11
Radosław,Pietrasz,78010412898,dzach@hotmail.com,22 939 61 49,"ul. Kołłątaja 31/16
53-209 Olkusz",1962-07-28
Mikołaj,Dorobek,24310430225,ida48@onet.pl,502 587 518,"ul. Żeromskiego 656
94-820 Łódź",2004-05-05
Juliusz,Jakiel,24282246970,jeremi34@yahoo.com,+48 535 932 374,"ulica Szmaragdowa 30/74
19-949 Częstochowa",1973-12-19
Dominik,Garczarek,23250764230,gustaw01@fundacja.com,723 620 783,"al. Strzelecka 018
54-328 Wrocław",1978-01-03
Alex,Puła,93122742305,ewa53@interia.pl,532 880 169,"ul. Bydgoska 03
72-217 Brodnica",1951-05-23
Aleks,Zemanek,79102413445,jedrzejslawik@o2.pl,504 563 413,"ulica Dąbrowskiej 51/48
37-028 Krosno",1999-08-08
Józef,Kopiczko,97080624581,soniamaras@gmail.com,888 551 214,"pl. Irysowa 429
01-583 Czeladź",2006-12-14
Łukasz,Adamaszek,99122592667,xzyzik@ozieblo.com,503 362 033,"al. Wiklinowa 694
59-984 Legnica",1993-12-14
Mikołaj,Grześków,21310603642,pagaczolgierd@gmail.com,+48 514 653 209,"pl. Jałowcowa 08/26
15-983 Mielec",1961-10-27
Maksymilian,Chwała,92051427802,gabrielhnat@soltan-kornek.com,+48 663 058 254,"pl. Jasna 62
06-322 Śrem",1959-09-24
Damian,Żakiewicz,90021178602,aleksander31@spoldzielnia.pl,+48 575 556 396,"ulica Korczaka 40
61-553 Kluczbork",1984-10-02
Sandra,Bojdo,24250310902,widuchborys@fundacja.com,787 262 928,"al. Piaskowa 003
87-306 Ostrołęka",1950-07-11
Albert,Drewniok,17222587192,mariannakuska@hotmail.com,+48 660 384 656,"ulica Wrocławska 24/68
14-752 Mysłowice",1953-12-06
